Disease,Drug Name,Clinical Trial Link,Obabel,chemical formula(chembl),chembl smiles (CHEMBL),ic50,ec50,ki,Water solubility,Caco2 permeability,Intestinal absorption (human),Skin Permeability,P-glycoprotein substrate,P-glycoprotein I inhibitor,P-glycoprotein II inhibitor,VDss (human),Fraction unbound (human),BBB permeability,CNS permeability,CYP2D6 substrate,CYP3A4 substrate,Total Clearance,Renal OCT2 substrate,AMES toxicity,Max. tolerated dose (human),hERG I inhibitor,hERG II inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis toxicity,Minnow toxicity,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Solubility (mol/l),ESOL Class,Ali Solubility (mol/l),Ali Class,Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,ConnectivitySMILES,lnChl,lnChlKey,TPSA,HeavyAtomCount,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,ExactMass,MonoisotopicMass,Complexity,IsotopeAtomCount,DefinedAtomStereoCount,undefinedAtomStereoCount,DefinedBondStereoCount,undefinedBondStereoCount,CovalentUnitCount,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,ConformerModelRmSD3D,EffectiveRotorCount3D,ConformerCount3D,Fingerprint2D
Alzheimer's,florbetapir F 18,https://www.clinicaltrials.gov/study/NCT00857415,[18F]CCOCCOCCOc1ccc(cn1)/C=C/c1ccc(cc1)NC,C20H25FN2O3,CNc1ccc(/C=C/c2ccc(OCCOCCOCC[18F])nc2)cc1,4.30,,0.68,-0.470938833,0.2308531484,0.5750412176,0.1899499992,1,0,0,0.3327874585,-0.5496154187,0.3095939861,-0.6174296379,0,1,-0.4129518598,1,0,0.7174364934,0,0,-0.0788723874,-1.745890446,1,0,-0.1296430996,-1.000753213,0.1601470352,0.2317450634,0.5175393526,-0.3951840253,1.579326231,0.2431751941,-0.4160308619,0.1895111165,0.5073925218,0.4286698936,0.3342432696,0.08353382227,0.8599104363,0.5783910401,-0.1638319769,3,-0.128351737,2,-0.1169864153,1,1,1,0,1,1,0,1,1,0.3542193192,0,0,1,0,0,0.1981764434,0,0,2,-0.1202210268,CNC1=CC=C(C=C1)C=CC2=CN=C(C=C2)OCCOCCOCCF,"InChI=1S/C20H25FN2O3/c1-22-19-7-4-17(5-8-19)2-3-18-6-9-20(23-16-18)26-15-14-25-13-12-24-11-10-21/h2-9,16,22H,10-15H2,1H3/b3-2+/i21-1",YNDIAUKFXKEXSV-CRYLGTRXSA-N,-0.4052011753,0.2968575662,-0.4401835145,0.470996729,0.2853506334,0.1604803978,0.1572445679,-0.2631048536,3.427723628,-0.5297730851,-0.3451743912,0.6862627683,-0.05201388956,-0.2710125621,-0.2300894967,-0.2850564158,-0.4534122514,0.2311236814,-0.4070360243,-0.5749995502,0.614541125,3.53268321,-0.956939705,-0.7044824566,1.094673798,2.292396718,0.6884266098,AAADceB7MQAAAAAAAAAAAAAAAAAAAAAAAAA8QAAAAAAAAAABwAAAHwAQAAAADAjhmgY+xJLIFACgAjRnRACCiCAxIiAI2KA+bJgNJuLEsZuOOCjk0BHK6AeQkAAOCAAAAAAAAAAQAAAAAAAAAAAAAAAAAA==
Alzheimer's,Lithium,https://clinicaltrials.gov/study/NCT00088387,[Li],Li,[Li],,,,2.342764803,0.7174599861,0.8721540786,0.4983031329,1,0,0,-0.3901281095,1.843462834,0.4673052082,0.2320027038,0,0,-0.3166221885,0,0,1.796471153,0,0,-0.4592266538,-0.8631404225,0,0,-2.28934371,0.5781097711,-2.121033133,-2.028632905,-1.271314371,1.678963287,-1.212220795,-0.8438901539,-0.4160308619,-2.043139751,-0.06519799093,-0.2367428185,0.02100402675,-0.06055641407,-0.08977849608,-0.08527402903,-0.1616524123,4,-0.1283169436,3,-0.1163108387,3,1,0,0,0,0,0,0,0,0.1645788345,0,0,0,0,0,0.2841100961,0,1,1,-0.3665629655,[Li],InChI=1S/Li,WHXSMMKQMYFTQS-UHFFFAOYSA-N,-1.400282173,-1.882891527,-0.9632873704,-1.592804209,-0.4461700479,-2.121493702,-2.111759025,-1.485693561,-0.1073026527,-0.5297730851,-0.3451743912,-0.2282402016,-0.05201388956,-0.2710125621,,,,,,,,,,,,,-1.840922706,AAADcQgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
Alzheimer's,Sodium selenate,https://neurologyopen.bmj.com/content/3/2/e000223,[O-][Se](=O)(=O)[O-].[Na+].[Na+],Na2O4Se,O=[Se](=O)([O-])[O-].[Na+].[Na+],,,7.77,2.137405795,-0.2075912379,0.8721540786,-1.160770793,0,0,0,-1.005205444,2.526103745,-0.2375953847,-0.9344712866,0,0,2.609111551,0,0,1.24479832,0,0,-2.244437808,-0.6100175772,0,0,-0.08914871314,0.9845908609,-0.9431988948,-1.486142192,-1.271314371,-1.764903949,-1.212220795,0.2431751941,0.1802800402,-1.856463257,-0.09368508112,0.2716623997,-0.1460569028,0.3205855014,-0.3036723998,0.01611924542,-0.1638138151,3,-0.1283529101,2,-0.1169731439,3,1,0,0,0,0,0,0,0,0.5381131226,0,0,0,0,0,0.2841100961,0,1,0,-0.993615173,[O-][Se](=O)(=O)[O-].[Na+].[Na+],"InChI=1S/2Na.H2O4Se/c;;1-5(2,3)4/h;;(H2,1,2,3,4)/q2*+1;/p-2",MHQOTKLEMKRJIR-UHFFFAOYSA-L,-1.267856945,-1.97008149,1.129128053,-1.592804209,4.448922511,-0.9366133352,-0.9336133973,-1.283446174,-0.1073026527,-0.5297730851,-0.3451743912,-0.2282402016,-0.05201388956,3.642144432,,,,,,,,,,,,,-1.840922706,AAADcQAAODAAAAAAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
Alzheimer's,Lithium Carbonate,https://clinicaltrials.gov/study/NCT01055392?intr=Lithium%20Carbonate&cond=Alzheimer%20Disease&rank=1,[O-]C(=O)[O-].[Li+].[Li+],CLi2O3,O=C([O-])[O-].[Li+].[Li+],,,,2.654368577,-0.3554001408,0.8721540786,0.1430266963,1,0,0,-1.38330493,2.468577826,-0.08536977024,-0.8291895316,0,0,1.363546498,0,0,1.323341571,0,0,-2.835418361,-0.7092315568,0,0,-0.9511006532,1.348624436,-1.687758395,-1.576557311,-1.271314371,-1.764903949,-1.212220795,-0.4815350379,-1.012341764,-1.894457414,-0.5808143233,-0.9133703515,-1.802744454,-1.533995282,-1.279028601,-1.449474449,-0.06947767625,4,-0.1189172482,4,0.9234073194,3,0,0,0,0,0,0,0,0,-0.1055151893,0,4,0,0,2,0.1981764434,0,0,1,-1.195167668,[Li+].[Li+].C(=O)([O-])[O-],"InChI=1S/CH2O3.2Li/c2-1(3)4;;/h(H2,2,3,4);;/q;2*+1/p-2",XGZVUEUWXADBQD-UHFFFAOYSA-L,-0.2046715446,-1.446941708,-0.9632873704,-0.5609037401,-0.4461700479,-1.687347354,-1.680080321,-1.424564126,-0.1073026527,-0.5297730851,-0.3451743912,-0.2282402016,-0.05201388956,3.642144432,,,,,,,,,,,,,-1.840922706,AAADcQwAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAACAAAAAAIAAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
Alzheimer's,Acetyl-L-carnitine,https://clinicaltrials.gov/study/NCT02955706?cond=Alzheimer%27s%20Disease&intr=Acetyl-L-carnitine%20&rank=1,[O-]C(=O)C[C@H](C[N+](C)(C)C)OC(=O)C,C9H17NO4,CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,,,,0.5858043978,-0.02490607694,0.8721540786,-0.8926376331,0,0,0,-1.228869929,1.640204585,0.0421706094,-0.6557139125,0,0,-1.194790355,0,0,1.042829961,0,0,-1.379438589,-0.4281252814,0,1,-0.997379952,0.8143394169,-0.8506547761,-0.8532363613,-1.271314371,1.287614738,0.1835527184,-0.1191799219,-1.012341764,-0.9698597207,-1.631987951,-0.9657061828,-1.381611694,-2.305575258,-2.215883899,-2.048616525,-0.1185299103,4,-0.1170923278,4,-0.1156757932,3,1,0,1,0,0,0,0,0,-0.61696983,0,1,0,0,0,0.1981764434,0,1,1,-0.6502294403,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1",RDHQFKQIGNGIED-MRVPVSSYSA-N,-0.1441342976,-0.7494219984,-0.9632873704,-0.2169369171,-0.141369764,-0.8508211416,-0.8483088376,-0.7898584989,-0.1073026527,-0.1494396233,-0.3451743912,-0.2282402016,-0.05201388956,-0.2710125621,0.3834824944,-1.00401644,1.91543543,0.2311236814,-1.815160649,-0.5749995502,-1.014302428,-0.9565144991,-0.2625543981,-0.2159289024,-0.7369372628,0.2189534493,0.6884266098,AAADceByOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAAAAAACBThgAYCCAMABAAIAACQCAAAAAAAAAAAAAEIAAACABQAgAAHAAAFIAAQAAAkAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
Alzheimer's,Dalzanemdor,https://clinicaltrials.gov/study/NCT04602624,C[C@@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@](C2)(C)O)CC[C@@](C(F)(F)F)(O)C,C27H43F3O2,C[C@H](CC[C@](C)(O)C(F)(F)F)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,4.65,2.16,,-2.625782317,0.3720189546,0.4090555249,-1.231155747,0,1,1,-0.08392077868,-1.23225633,0.2835373494,-0.147250891,0,1,-1.080538885,0,0,-2.158742546,0,0,1.035606512,-1.40881731,1,0,0.327364976,-0.9015552176,0.7891234616,0.7742357758,-1.271314371,1.874637562,-0.04907620049,0.2431751941,0.1802800402,0.7029812846,0.7124995711,1.815569423,1.942204716,1.863745452,1.608539099,1.928765104,-0.1638566366,1,-0.1283546926,1,-0.1169863698,2,0,0,0,0,0,0,0,0,1.532288997,1,2,0,1,1,0.1981764434,0,1,2,1.962488091,CC(CCC(C)(C(F)(F)F)O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)(C)O)C)C,"InChI=1S/C27H43F3O2/c1-17(10-13-26(5,32)27(28,29)30)20-8-9-21-19-7-6-18-16-23(2,31)14-15-24(18,3)22(19)11-12-25(20,21)4/h6,17,19-22,31-32H,7-16H2,1-5H3/t17-,19+,20-,21+,22+,23+,24+,25-,26+/m1/s1",BVBRUQYHUXKZMQ-JNVAYQLDSA-N,-0.6341076406,0.8199973485,0.08292034141,0.127029906,-0.2023298208,0.7898819084,0.7830686249,0.9919995112,-0.1073026527,2.893228071,-0.3451743912,-0.2282402016,-0.05201388956,-0.2710125621,-0.2300894967,0.4339036083,-0.4534122514,-1.05512985,1.0010886,0.6567986493,1.475973207,1.245902258,-0.603317558,0.7204654098,1.094673798,0.5645273274,0.6884266098,AAADcfB4MYAAAAAAAAAAAAAAAAAAAYAAAAAwYIAAAAAAAGCAAAAAGwAACAAAD0SAgBACAAAAAgCAAiBCAAAAAAAgAAAACAAAAAgAAAIAAQAAQAAEwAAIAAOAwPAPgAAAAAAAAADAAAQAACAAAQAACAAAAA==
Alzheimer's,Selegiline,https://pubmed.ncbi.nlm.nih.gov/10354658/,C[C@@H](N(CC#C)C)Cc1ccccc1,C13H17N,C#CCN(C)[C@H](C)Cc1ccccc1,2.69,,3.21,0.6799272767,0.9848446308,0.6558171841,2.174135381,0,0,0,0.9957928965,0.1905514125,1.595968998,1.222608308,1,0,0.8527752175,1,0,0.1414526545,0,0,-0.5144393699,0.5309431876,1,1,0.4681311765,-0.226086074,-0.9539417785,-0.8532363613,-0.3768875094,-0.2777794605,-0.2817051193,-1.20624527,-1.012341764,-0.6966531813,0.2168242019,0.2193265685,-0.1634590829,0.7203197055,0.1283932857,0.2696024315,-0.1636533088,3,-0.128232163,3,-0.1169744275,3,1,1,0,1,0,0,1,0,0.7335002888,0,0,0,0,2,0.1981764434,0,1,1,-0.9338959152,CC(CC1=CC=CC=C1)N(C)CC#C,"InChI=1S/C13H17N/c1-4-10-14(3)12(2)11-13-8-6-5-7-9-13/h1,5-9,12H,10-11H2,2-3H3/t12-/m1/s1",MEZLKOACVSPNER-GFCCVEGCSA-N,-1.339744926,-0.7494219984,-0.9632873704,-1.248837386,-0.2023298208,-0.9543651871,-0.9512643494,-0.8516382474,-0.1073026527,-0.1494396233,-0.3451743912,-0.2282402016,-0.05201388956,-0.2710125621,-1.457233479,-1.00401644,-0.4534122514,0.2311236814,-1.111098337,0.6567986493,-0.9228229153,-0.2228016617,-1.1626835,-0.9284028356,-0.7369372628,-0.4721943069,0.6884266098,AAADceByAAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHAAAAAAADCjBGAQyAIMAAADAGiBCAAACAAAgAAAIiAAIAIgIICKAkRGEIAAggACIiAcQgIAOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
Alzheimer's,Mibampator,"https://pmc.ncbi.nlm.nih.gov/articles/PMC3938603/#:~:text=Mibampator%2C%20an%20AMPA%20receptor%20potentiator%2C%20was%20evaluated,and%20aggression%20(A/A)%20in%20Alzheimer%27s%20disease%20(AD).",C[C@H](c1ccc(cc1)c1ccc(cc1)CCNS(=O)(=O)C)CNS(=O)(=O)C(C)C,C21H30N2O4S2,CC(C)S(=O)(=O)NC[C@H](C)c1ccc(-c2ccc(CCNS(C)(=O)=O)cc2)cc1,3.52,2.18,,-1.071328712,-2.145714718,-0.434683845,0.1497300253,1,1,1,-0.6497386726,-1.213081024,-0.8259268133,-0.4678816904,0,1,1.070077034,0,0,0.2181258278,0,1,-0.93773686,0.7459068099,1,0,-0.2202733931,-0.9532304526,0.6725049288,0.5029904196,0.5175393526,-0.08210518572,1.114068394,0.6055303102,0.1802800402,0.5701115448,0.06584262392,0.4062402516,0.8041021338,0.1532549044,0.1882835787,0.4263011284,-0.1638496885,2,-0.1283544712,2,-0.1169864183,1,1,0,1,0,1,1,1,1,0.05539188868,0,0,0,0,0,0.1981764434,0,0,2,0.2604892421,CC(C)S(=O)(=O)NCC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)CCNS(=O)(=O)C,"InChI=1S/C21H30N2O4S2/c1-16(2)29(26,27)23-15-17(3)19-9-11-21(12-10-19)20-7-5-18(6-8-20)13-14-22-28(4,24)25/h5-12,16-17,22-23H,13-15H2,1-4H3/t17-/m0/s1",ULRDYYKSPCRXAJ-KRWDZBQOSA-N,0.6617678031,0.5584274573,0.08292034141,0.470996729,0.1634305198,0.6722308557,0.6660862888,0.7221195571,-0.1073026527,-0.1494396233,-0.3451743912,-0.2282402016,-0.05201388956,-0.2710125621,0.9970544855,0.4339036083,-0.4534122514,-1.05512985,-0.4070360243,1.888596849,1.237110034,2.226316451,-0.3461378147,0.02834787469,2.010479329,1.601248962,0.6884266098,AAADceB7OABgAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAAABQAAAHAQQQAAADQDFWASyAIBAAAKAAiBCAHBCAAAgAAAIiIAAAIgIICKAkRGAIAAgkAAIiAcQgMAOwAAAAAAAAACAAAAAAAAAAAAAAAAAAA==
Alzheimer's,Huperzine A,https://www.clinicaltrials.gov/study/NCT00083590?cond=Alzheimer%27s%20Disease&intr=Huperzine%20A&rank=2,C/C=C/1\[C@H]2C=C(C[C@@]1(N)c1c(C2)[nH]c(=O)cc1)C,C15H18N2O,C/C=C1\[C@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2,2.82,,2.05,0.567978095,0.4816300511,0.5804432696,-0.4099979456,0,0,0,0.8280445326,1.064945389,0.4823906294,-0.3937059085,0,0,-0.05227564841,0,0,0.2087754408,0,0,0.2503589938,-0.6608965411,1,0,0.2521611155,0.2606761845,-0.5977439957,-0.4915758864,-0.3768875094,-0.1995097506,-1.212220795,-0.8438901539,0.1802800402,-0.4427731495,-0.5808143233,-0.8610345202,-0.2922352161,0.2369202029,0.2139508471,-0.3664099264,-0.1599138521,4,-0.1200643409,4,-0.1169814536,3,1,1,1,0,0,0,0,0,-0.6399565555,0,0,0,0,0,0.1981764434,0,1,1,0.6710591399,CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3,"InChI=1S/C15H18N2O/c1-3-11-10-6-9(2)8-15(11,16)12-4-5-14(18)17-13(12)7-10/h3-6,10H,7-8,16H2,1-2H3,(H,17,18)/b11-3+/t10-,15+/m0/s1",ZRJBHWIHUMBLCN-YQEJDHNASA-N,-0.3579064511,-0.4006621436,0.08292034141,-0.9048705631,-0.4461700479,-0.597942785,-0.5968678156,0.305919146,-0.1073026527,0.2308938385,-0.3451743912,0.6862627683,-0.05201388956,-0.2710125621,-0.8436614877,0.4339036083,-0.4534122514,0.2311236814,0.297026288,0.6567986493,-0.5899391314,-0.8529766248,-0.4875866735,0.8833165945,-0.7369372628,-1.716260268,-1.587987775,AAADceBzIAAAAAAAAAAAAAAAAAAAAAAAAAAgQIAAAAAQAACAAAAAHgAQAAAADYiBgAACAALAAACIAiVSUACAAAAgAAAICAAAAEgIAAIAgQAEAAAAlACIgYMQgMAOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
Alzheimer's,Bezisterim,https://pmc.ncbi.nlm.nih.gov/articles/PMC12082838/,C#C[C@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2[C@@H](O)C=C2[C@]1(C)CC[C@@H](C2)O,C21H30O3,C#C[C@]1(O)CC[C@H]2[C@@H]3[C@@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,,,,-0.2719972936,0.5297925026,0.7362873741,-0.5507678545,1,0,0,-0.1052221582,-0.6033062769,0.1285689311,0.6567188747,0,1,0.1583054937,1,0,-1.319077794,0,0,-0.4121935994,0.02342552295,0,0,-0.2164167848,0.1550187843,-0.0273357004,0.05091482599,-1.271314371,1.405019302,-1.212220795,-0.4815350379,0.7765909422,0.04983317515,0.2652522552,-5.73E-02,-0.003359025472,0.6831351283,0.1027260172,0.2465585055,-0.1637692645,3,-0.1283100089,3,-0.116802999,3,1,1,1,0,0,0,0,0,-0.07103510116,0,0,0,0,0,0.1981764434,0,2,0,1.731075967,CC12CCC(CC1=CC(C3C2CCC4(C3CCC4(C#C)O)C)O)O,"InChI=1S/C21H30O3/c1-4-21(24)10-7-16-18-15(6-9-20(16,21)3)19(2)8-5-14(22)11-13(19)12-17(18)23/h1,12,14-18,22-24H,5-11H2,2-3H3/t14-,15-,16-,17-,18+,19-,20-,21-/m0/s1",JJKOQZHWYLMASZ-FJWDNACWSA-N,-0.2519662689,0.1224776387,0.6060241973,-0.5609037401,-0.3852099912,-0.02722424685,-0.02939318292,0.5627928372,-0.1073026527,2.512894609,-0.3451743912,-0.2282402016,-0.05201388956,-0.2710125621,0.3834824944,1.152863633,-0.4534122514,-1.05512985,1.0010886,0.6567986493,0.2791162435,-0.2010714905,-0.5775995836,0.2319118556,-0.7369372628,-1.163342063,-1.587987775,AAADceB4MAAAAAAAAAAAAAAAAAAAAYAAAAAwYIAAAAAAAGCAAAAAGgAACAAAD1SggAICAAAAAgDAGiBCAAgAAAAgAAAACAAAAAgAFAIAAQAAUAAEwAAIEAOA4PQPgAAAAAAAAADAAAQAACAAAYAADAAAAA==
