node_id,n_samples,dominant_disease,purity,feature_1,feature_1_cohens_d,feature_2,feature_2_cohens_d,feature_3,feature_3_cohens_d,feature_4,feature_4_cohens_d,feature_5,feature_5_cohens_d,bit_1,bit_1_diff,bit_2,bit_2_diff,bit_3,bit_3_diff,bit_4,bit_4_diff,bit_5,bit_5_diff
cube61_cluster0,14,Alzheimer's,0.5,CYP1A2 inhibitor,1.7162,CYP3A4 inhibitor,1.0788,CYP2C9 inhibitor,1.0206,CYP2C19 inhibitor,1.0074,XStericQuadrupole3D,0.9138,Bit_492,0.8202,Bit_522,0.8101,Bit_374,0.8067,Bit_448,0.7966,Bit_531,0.7597
cube57_cluster0,22,Alzheimer's,0.5,CYP2C19 inhibitor,1.2478,CYP2C9 inhibitor,1.2251,RotatableBondCount,1.0794,CYP3A4 inhibitor,1.0509,#Aromatic heavy atoms,0.902,Bit_595,0.5275,Bit_667,0.5275,Bit_566,0.5257,Bit_590,0.5257,Bit_627,0.5257
cube15_cluster0,15,Parkinson's,0.4667,BBB permeability,1.4749,VDss (human),1.4082,P-glycoprotein I inhibitor,1.3982,MLOGP,1.3165,CNS permeability,1.1976,Bit_20,-0.7193,Bit_444,-0.4465,Bit_421,-0.4387,Bit_13,0.4118,Bit_300,-0.4028
cube10_cluster0,14,Parkinson's,0.4286,undefinedAtomStereoCount,1.5993,Renal OCT2 substrate,1.4025,T.Pyriformis toxicity,1.1789,Leadlikeness #violations,-0.9622,Skin Permeability,0.957,Bit_536,-0.4924,Bit_16,-0.463,Bit_698,0.4546,Bit_341,-0.4487,Bit_466,0.4462
cube36_cluster0,14,Parkinson's,0.4286,CYP2D6 substrate,1.9662,undefinedAtomStereoCount,1.4681,VDss (human),1.3787,CYP2D6 inhibitor,1.2494,FeatureCationCount3D,1.2306,Bit_392,0.5445,Bit_181,0.4815,Bit_182,0.4429,Bit_421,-0.4244,Bit_13,0.4118
cube35_cluster0,15,Multiple Sclerosis,0.4,T.Pyriformis toxicity,1.3707,Fraction Csp3,-1.0288,CYP1A2 inhibitor,0.9732,BBB permeant,0.875,EffectiveRotorCount3D,-0.8604,Bit_601,0.6571,Bit_666,0.637,Bit_438,0.6286,Bit_546,0.6134,Bit_547,0.609
cube58_cluster0,13,Parkinson's,0.3846,PAINS #alerts,3.7604,Brenk #alerts,1.99,Caco2 permeability,-1.9637,FeatureDonorCount3D,1.7514,FeatureAnionCount3D,1.4707,Bit_632,0.9479,Bit_545,0.9227,Bit_762,0.9227,Bit_825,0.9143,Bit_591,0.8723
cube54_cluster0,14,Alzheimer's,0.3571,XStericQuadrupole3D,2.5318,P-glycoprotein II inhibitor,1.5387,CYP2C9 inhibitor,1.3701,CYP2D6 substrate,1.2682,FeatureRingCount3D,1.2457,Bit_543,0.6538,Bit_383,0.6286,Bit_607,0.6252,Bit_652,0.6252,Bit_382,0.6168
cube56_cluster0,26,Alzheimer's,0.3462,#Aromatic heavy atoms,1.6828,Volume3D,1.5023,YStericQuadrupole3D,1.4095,FeatureRingCount3D,1.4024,ConformerModelRmSD3D,1.2137,Bit_380,0.8136,Bit_485,0.7836,Bit_637,0.7668,Bit_488,0.7666,Bit_675,0.7533
cube9_cluster0,26,Alzheimer's,0.3462,Skin Sensitisation,0.8229,FeatureRingCount3D,-0.7343,Synthetic Accessibility,-0.6765,P-glycoprotein II inhibitor,-0.6718,CYP3A4 inhibitor,-0.6597,Bit_393,0.4398,Bit_529,0.4368,Bit_644,0.4228,Bit_608,0.4187,Bit_13,-0.3959
cube26_cluster0,15,Multiple Sclerosis,0.3333,EffectiveRotorCount3D,1.7062,#Rotatable bonds,1.1776,ConformerModelRmSD3D,1.1567,Leadlikeness #violations,1.151,ZStericQuadrupole3D,0.901,Bit_757,0.5087,Bit_820,0.4868,Bit_699,0.4577,Bit_367,0.4443,Bit_566,0.4409
cube31_cluster0,27,Multiple Sclerosis,0.3333,CYP2D6 inhibitor,1.2627,hERG II inhibitor,1.167,VDss (human),1.1539,Caco2 permeability,1.0611,BBB permeability,1.006,Bit_605,0.647,Bit_621,0.6451,Bit_633,0.6451,Bit_595,0.6268,Bit_667,0.6268
cube28_cluster0,18,Multiple Sclerosis,0.3333,FeatureRingCount3D,-1.3301,Fraction Csp3,1.2301,#Aromatic heavy atoms,-1.1892,CYP3A4 substrate,-1.1606,Fraction unbound (human),1.1087,Bit_641,-0.7916,Bit_256,-0.7513,Bit_180,-0.7429,Bit_356,-0.7429,Bit_565,-0.7328
cube27_cluster0,12,Alzheimer's,0.3333,VDss (human),1.4198,Renal OCT2 substrate,1.3455,BBB permeability,1.3318,Oral Rat Acute Toxicity (LD50),1.3272,CYP2D6 inhibitor,1.2474,Bit_251,0.7796,Bit_252,0.7543,Bit_566,0.7076,Bit_590,0.7076,Bit_627,0.7076
cube44_cluster0,18,Alzheimer's,0.3333,Max. tolerated dose (human),-1.2391,DefinedAtomStereoCount,1.2051,FeatureCationCount3D,-1.1526,T.Pyriformis toxicity,1.1394,BBB permeant,1.0886,Bit_15,-0.8218,Bit_286,-0.8185,Bit_352,-0.8084,Bit_777,0.7579,Bit_593,-0.7261
cube30_cluster0,21,Alzheimer's,0.3333,Fraction Csp3,-0.5587,VDss (human),-0.5178,Bioavailability Score,0.5013,Ali Solubility (mol/l),0.4735,#Aromatic heavy atoms,0.4644,Bit_621,0.4493,Bit_633,0.4493,Bit_656,0.3793,Bit_615,0.3742,Bit_383,0.3429
cube43_cluster0,13,Alzheimer's,0.3077,FeatureHydrophobeCount3D,2.2355,Water solubility,-2.2239,DefinedAtomStereoCount,1.5675,Max. tolerated dose (human),-1.5572,ConformerModelRmSD3D,1.5331,Bit_4,0.7886,Bit_256,-0.7513,Bit_356,-0.7429,Bit_712,0.7268,Bit_571,-0.7261
cube53_cluster0,13,Alzheimer's,0.3077,Lipinski #violations,1.7528,Bioavailability Score,-1.5215,MW,1.5195,XStericQuadrupole3D,1.5049,Complexity,1.5021,Bit_4,0.6348,Bit_187,0.5916,Bit_581,0.5528,Bit_258,0.5429,Bit_536,0.5076
cube49_cluster0,17,Multiple Sclerosis,0.2941,XLOGP3,1.2246,Minnow toxicity,-1.2098,Consensus Log P,1.1691,Pgp substrate,1.089,log Kp (cm/s),1.0312,Bit_566,0.7076,Bit_590,0.7076,Bit_627,0.7076,Bit_477,0.6958,Bit_605,0.684
cube52_cluster0,17,Parkinson's,0.2941,YStericQuadrupole3D,1.476,Volume3D,1.3826,iLOGP,-1.2957,Ghose #violations,1.2852,ZStericQuadrupole3D,1.2311,Bit_685,0.521,Bit_381,0.484,Bit_580,0.4521,Bit_536,0.3899,Bit_453,0.3832
cube40_cluster0,24,Alzheimer's,0.2917,YStericQuadrupole3D,1.1881,P-glycoprotein I inhibitor,1.1291,Silicos-IT class,-1.0512,#Aromatic heavy atoms,1.0273,Hepatotoxicity,1.0115,Bit_531,0.7597,Bit_432,0.7412,Bit_397,0.7378,Bit_524,0.7345,Bit_358,0.7264
cube14_cluster0,22,Alzheimer's,0.2727,CYP2C19 inhibitor,1.037,Fraction Csp3,-0.9804,CNS permeability,0.9544,T.Pyriformis toxicity,0.9033,CYP2C9 inhibitor,0.783,Bit_378,0.6806,Bit_503,0.6218,Bit_601,0.6117,Bit_586,0.605,Bit_658,0.605
cube34_cluster0,15,Alzheimer's,0.2667,CYP1A2 inhibitor,1.3985,Leadlikeness #violations,-0.908,EffectiveRotorCount3D,-0.7772,CYP3A4 substrate,-0.743,Fraction Csp3,-0.7405,Bit_547,0.6756,Bit_503,0.6672,Bit_601,0.6571,Bit_638,-0.6555,Bit_586,0.6504
