node_id,n_samples,dominant_disease,purity,feature_1,feature_1_cohens_d,feature_2,feature_2_cohens_d,feature_3,feature_3_cohens_d,feature_4,feature_4_cohens_d,feature_5,feature_5_cohens_d,bit_1,bit_1_diff,bit_2,bit_2_diff,bit_3,bit_3_diff,bit_4,bit_4_diff,bit_5,bit_5_diff
cube52_cluster0,20,Parkinson's,0.55,hERG I inhibitor,1.8463,VDss (human),1.5392,T.Pyriformis toxicity,1.4629,Renal OCT2 substrate,1.2682,CYP2D6 inhibitor,1.2556,Bit_20,-0.6193,Bit_421,-0.5387,Bit_698,0.5261,Bit_713,0.4937,Bit_444,-0.4798
cube29_cluster0,10,Multiple Sclerosis,0.5,CNS permeability,-1.3039,Caco2 permeability,-1.1854,CYP3A4 substrate,-1.153,BBB permeability,-1.1112,Fraction unbound (human),1.0712,Bit_492,0.8202,Bit_522,0.8101,Bit_374,0.8067,Bit_594,0.8034,Bit_448,0.7966
cube4_cluster0,4,Alzheimer's,0.5,DefinedAtomStereoCount,3.1889,Egan #violations,2.2976,GI absorption,-2.1511,Fraction Csp3,1.9637,Volume3D,1.8961,Bit_840,0.9378,Bit_243,0.9193,Bit_861,0.916,Bit_145,0.9109,Bit_712,0.8807
cube53_cluster0,8,Parkinson's,0.5,PAINS #alerts,2.1961,Brenk #alerts,2.0853,Fraction unbound (human),-0.954,T.Pyriformis toxicity,0.9343,P-glycoprotein substrate,0.9049,Bit_801,0.634,Bit_650,0.4933,Bit_367,-0.4891,Bit_402,0.4849,Bit_456,0.4849
cube26_cluster0,15,Alzheimer's,0.4667,CYP2C9 inhibitor,1.6098,XStericQuadrupole3D,1.5214,FeatureRingCount3D,1.496,Volume3D,1.3271,CYP3A4 inhibitor,1.3063,Bit_597,0.7754,Bit_520,0.7619,Bit_488,0.7384,Bit_451,0.7249,Bit_454,0.6756
cube25_cluster0,13,Multiple Sclerosis,0.4615,EffectiveRotorCount3D,1.8753,hERG I inhibitor,1.825,XStericQuadrupole3D,1.7209,Volume3D,1.7202,ConformerModelRmSD3D,1.6384,Bit_575,0.5765,Bit_549,0.5714,Bit_656,0.5697,Bit_620,0.5445,Bit_574,0.5395
cube7_cluster0,7,Huntington's,0.4286,MW,2.6866,Lipinski #violations,2.6443,ExactMass,2.6023,MonoisotopicMass,2.5853,#Heavy atoms,2.5008,Bit_14,0.9294,Bit_4,0.8655,Bit_200,0.7143,Bit_21,0.7109,Bit_193,0.6756
cube47_cluster0,12,Multiple Sclerosis,0.4167,ConformerModelRmSD3D,-1.1452,Synthetic Accessibility,-1.084,Fraction Csp3,-1.0589,FeatureCationCount3D,-1.0503,Bioavailability Score,1.0484,Bit_3,-0.6259,Bit_541,-0.5671,Bit_366,-0.5426,Bit_346,-0.5174,Bit_13,-0.5049
cube51_cluster0,5,Parkinson's,0.4,IsotopeAtomCount,3.4421,T.Pyriformis toxicity,2.7723,Renal OCT2 substrate,1.7335,CYP3A4 inhibitor,1.5525,hERG II inhibitor,1.2751,Bit_47,0.9866,Bit_299,0.9866,Bit_351,0.9866,Bit_215,0.9832,Bit_708,0.9765
cube64_cluster0,5,Parkinson's,0.4,Skin Sensitisation,2.3284,T.Pyriformis toxicity,1.9172,Renal OCT2 substrate,1.7335,Skin Permeability,1.5938,CYP2D6 inhibitor,1.2401,Bit_287,-0.8622,Bit_353,-0.8353,Bit_638,-0.6555,Bit_421,-0.6387,Bit_681,-0.6218
cube63_cluster0,10,Multiple System Atrophy,0.4,PAINS #alerts,4.1019,Intestinal absorption (human),-2.013,ESOL Class,1.9437,Ali Class,1.9094,Caco2 permeability,-1.8569,Bit_632,0.9479,Bit_545,0.9227,Bit_762,0.9227,Bit_825,0.9143,Bit_591,0.8723
cube16_cluster0,10,Parkinson's,0.4,Ghose #violations,2.4616,Volume3D,2.0037,#Aromatic heavy atoms,2.0029,Lipinski #violations,1.9089,MonoisotopicMass,1.9075,Bit_14,0.8294,Bit_260,0.7681,Bit_4,0.7655,Bit_262,0.7176,Bit_193,0.6756
cube22_cluster0,10,Alzheimer's,0.4,DefinedAtomStereoCount,1.9175,ConformerCount3D,-1.6013,Fraction Csp3,1.4151,Max. tolerated dose (human),-1.4148,EffectiveRotorCount3D,-1.3449,Bit_243,0.9193,Bit_861,0.916,Bit_145,0.9109,Bit_712,0.8807,Bit_335,0.8756
cube54_cluster0,18,Parkinson's,0.3889,PAINS #alerts,2.0492,Caco2 permeability,-1.4711,ESOL Class,1.3406,FeatureDonorCount3D,1.3024,Intestinal absorption (human),-1.2927,Bit_567,0.7007,Bit_537,0.6636,Bit_186,-0.605,Bit_668,0.5929,Bit_13,-0.5882
cube65_cluster0,8,Parkinson's,0.375,Skin Sensitisation,2.3343,Fraction Csp3,1.647,BBB permeability,1.397,Skin Permeability,1.3503,Muegge #violations,1.2129,Bit_287,-0.8622,Bit_353,-0.8353,Bit_19,-0.7758,Bit_201,0.7181,Bit_337,0.6895
