Disease,Property,Spearman_rho,P_value
Alzheimer's,CovalentUnitCount,0.4426,2.2299374130618516e-08
Alzheimer's,Veber #violations,0.378,2.5542532604264414e-06
Alzheimer's,Lipinski #violations,0.3609,7.626064912663835e-06
Alzheimer's,Bioavailability Score,-0.33,4.7496508928216946e-05
Alzheimer's,GI absorption,-0.3041,0.00019045399984046196
Alzheimer's,Egan #violations,0.3041,0.00019045399984046196
Alzheimer's,Muegge #violations,0.2835,0.000524788694564466
Alzheimer's,Ghose #violations,0.2607,0.0014845990640500865
Alzheimer's,ConformerCount3D,-0.2511,0.0022338530717820387
Alzheimer's,Intestinal absorption (human),-0.2423,0.0032140239183658255
Alzheimer's,log Kp (cm/s),-0.2417,0.003289311096422103
Alzheimer's,ExactMass,0.2366,0.0040438838550134705
Alzheimer's,MonoisotopicMass,0.2366,0.0040438838550134705
Alzheimer's,MW,0.2366,0.004043920388498926
Alzheimer's,#Heavy atoms,0.2356,0.0041987714885587425
Alzheimer's,#H-bond donors,0.2344,0.004409298763720472
Alzheimer's,Synthetic Accessibility,0.2343,0.0044256138595242245
Alzheimer's,MR,0.2343,0.0044264377791101385
Alzheimer's,#H-bond acceptors,0.2327,0.004707125390759393
Alzheimer's,Caco2 permeability,-0.2285,0.0055278267661616936
Alzheimer's,HBondAcceptorCount,0.2275,0.00574323058940595
Alzheimer's,BBB permeability,-0.2171,0.008489388250766092
Alzheimer's,HBondDonorCount,0.2131,0.009793683610297477
Alzheimer's,FeatureAnionCount3D,0.1971,0.01708142238632845
Alzheimer's,CNS permeability,-0.1896,0.021906880886077586
Alzheimer's,Total Clearance,-0.185,0.025378078841265375
Alzheimer's,Oral Rat Chronic Toxicity (LOAEL),0.1827,0.02728388053886536
Alzheimer's,#Rotatable bonds,0.1824,0.027551007390974686
Alzheimer's,XLOGP3,-0.1781,0.03146285693298094
Alzheimer's,iLOGP,0.1638,0.04817678747051825
Amyotrophic Lateral Sclerosis,T.Pyriformis toxicity,0.3887,0.000677936592494777
Amyotrophic Lateral Sclerosis,Skin Permeability,0.3509,0.0023347397584327976
